Long Jump,"Who can jump the farthest? That is what the Long Jump boils down to. Jumpers start at one end of the runway and take a flying leap in to a pit of sand. A board, 20 cm wide, near the end of the runway, marks the take off point and the distance jumped is measured from the end of the board to the spot where the athlete first breaks the sand. If any part of the jumper's feet goes beyond the board during takeoff, the jump is ruled a foul and will not be measured or counted."
Triple Jump,"This event requires exceptional abdominal strength as the jumper must use the momentum from her run-up to make three separate jumps before landing in the sand pit. The jumper first takes off and lands with the same foot (the hop phase), takes off again from that same foot and lands on the opposite foot (skip phase), and then takes off from that landing foot to leap into the sand. Maintaining correct body position and alignment in the air during the three phases is a crucial component to completing a lengthy jump."
High Jump,"Who can jump the highest? (Well, the highest, without a pole). That is the point of the high jump. High jumpers run a curved approach, then, at a precise spot, translate that forward motion in to vertical motion as they drive their arms, shoulders, hips and opposite leg in to the air to get as much height as possible. They lay first their head, then shoulders, back, hips and legs over the bar. Having impeccable technique to put all of these steps together is crucial, but being naturally long and lean is a big plus as well. Athletes have three misses at each height before being eliminated from the competition. Whoever clears the highest bar wins, although ties are frequent in the HJ."
Pole Vault,"Athletes sprint down the runway carrying a long pole. At the end of the runway they plant the pole in to a box, bend the pole down and catapult themselves over the bar. An event not suited to those with a fear of flying, but those with a background in gymnastics have done well transitioning to the vault. The same rules as the high jump apply: each athlete has three attempts to successfully clear a height in order to remain in the competition."
Discus Throw,The discus requires ballet-like footwork as the athlete rotates through a series of spins to build momentum to hurl the discus nearly the entire length of the track. The disc is thrown out of a high-sided steel mesh cage that protects bystanders from errant throws. In the cage is a circle that designates the throwing area. Stepping out of the circle during a throw constitutes a foul and the throw will not be measured. Each competitor is allowed three initial throws with the longest distance determining her place in the standings. After the first three throws the competition can be narrowed to allow only a set number of the top placers in the standings to take an additional three throws to determine the final order of finish.
Hammer Throw,"The Hammer shares many similarities with the discus including the cage, the circle and the spinning approach to the throw. The major difference is that the implement being thrown is a steel ball on the end of a wire. Distances achieved are also similar to that of the discus."
Javelin Throw,"The javelin is a long, spear-like implement with a sharp tip on the end. Athletes take a running approach before launching their javelins, and often their bodies, in to the air. The trick is to get the maximum forward motion on the approach without stepping over the line. As in the other throws, if the athlete steps over the designated throwing line, the result is a foul and an unmeasured throw. Another tricky thing about the Javelin is that it must land tip down to be considered fair. The small country of Finland is the cradle of this event and has consistently produced the most accomplished practitioners."
Shot Put,"The shot is a steel ball, and the competition is to see who can put, or throw it the farthest. As in the Discus and Hammer a circle delineates the fair area from which the put must be launched. There are two techniques for generating the momentum to get maximum distance on one's put. The glide involves starting in a crouched position, shot tucked between neck and shoulder under the chin, then taking a large, powerful stride backwards towards the launching point while turning the body and uncoiling the legs to release the put up and out towards the landing area. New putters usually master the glide technique before graduating to the spin. Spinners will do one to 1 ½ rotations before releasing the shot from the edge of the circle and, often, hopping around on tiptoe to keep themselves from over-rotating out of the circle thereby fouling and nullifying their puts."
Decathlon,"A 10-event athletic contest. specifically : a composite contest that consists of the 100-meter, 400-meter, and 1500-meter runs, the 110-meter high hurdles, the javelin and discus throws, shot put, pole vault, high jump, and long jump. The winner of the Olympic title in this event is known as the greatest athlete in the world as it requires showing mastery of ten different events across the track & field spectrum."
Heptathlon,"A 7-event athletic contest. specifically : a composite contest for female athletes that consists of the 100-meter hurdles, the high jump, the shot put, the 200-meter dash, the long jump, the javelin throw, and the 800-meter run"
Marathon,"A 26.2 mile long endurance race run on an open course. It is the only event that doesn't take place on the track or infield, and courses vary across host cities. Extreme endurance is requried to succeed at the marathon."
